Offset (tare) = 
13775
For calibration, press a key and enter
1.42
-0.95
-1.25
-0.54
0.88
0.51
0.64
1.45
0.14
0.85
0.95
1.25
2.23
1.52
1.28
0.98
1.89
1.32
2.37
2.06
0.81
0.24
0.10
2.10
1.79
1.96
2.06
0.85
0.57
1.25
1.25
0.74
0.41
-0.74
0.00
1.66
2.37
3.18
2.06
2.98
2.60
0.88
0.68
0.88
2.16
3.04
1.62
0.88
1.25
1.52
1.56
0.34
2.20
2.30
0.61
0.71
1.08
2.64
2.94
0.74
1.15
1.99
1.32
1.28
2.16
2.37
2.06
0.27
0.78
1.66
1.96
1.83
1.72
1.28
2.03
1.69
-0.88
-0.20
1.18
0.64
0.68
0.85
0.68
0.78
0.14
0.14
0.68
-0.10
2.40
1.59
0.44
0.41
0.85
1.52
2.23
1.66
0.85
2.03
1.18
-1.01
0.30
1.18
1.69
0.98
0.78
1.76
3.35
3.48
3.01
1.28
1.45
2.74
1.45
1.32
2.13
1.12
2.06
2.13
1.83
2.98
2.40
1.59
2.37
1.86
1.76
1.42
2.03
1.83
1.69
2.71
2.16
3.18
2.77
2.60
4.13
4.70
3.62
2.27
1.25
1.12
1.22
2.20
4.13
4.56
4.19
3.42
2.98
3.31
4.02
3.04
3.04
4.13
2.91
2.94
5.11
4.26
2.60
4.02
3.45
3.04
2.33
2.54
4.02
3.28
3.48
5.34
5.41
3.82
2.81
3.82
3.35
4.70
6.90
8.12
6.12
5.27
5.17
4.19
4.63
5.51
5.51
5.11
5.34
6.29
6.05
5.41
4.36
6.09
8.18
6.09
4.67
5.27
6.56
5.14
4.80
4.87
5.27
6.80
7.27
6.86
7.41
6.80
5.61
6.05
7.51
6.09
7.17
7.20
8.79
9.26
10.04
9.13
7.91
7.07
8.35
9.06
7.95
7.95
8.99
9.50
8.99
8.96
10.38
10.35
9.67
9.74
10.58
11.06
10.04
8.52
8.59
9.37
10.68
10.96
9.16
8.05
10.65
9.40
9.57
9.84
9.26
8.39
7.17
7.20
7.47
7.20
8.55
8.76
7.91
8.59
9.70
8.49
8.01
7.37
8.35
8.69
8.96
9.84
8.18
7.27
6.56
8.12
8.49
7.88
8.93
8.69
7.68
8.83
9.64
9.10
7.30
7.51
8.99
8.32
7.74
7.84
7.95
6.90
6.80
8.05
8.05
7.10
8.35
8.32
8.45
8.39
6.49
6.63
7.78
5.68
6.93
6.05
6.39
7.03
7.07
7.20
6.80
6.97
7.61
7.78
7.20
6.73
5.07
4.53
4.23
5.65
6.46
7.03
5.34
4.46
4.46
4.77
5.14
5.98
6.12
6.29
6.73
5.65
4.90
4.73
3.92
4.46
5.04
5.11
4.97
4.70
5.14
6.76
6.66
5.04
4.94
3.45
3.55
4.63
5.85
5.14
3.04
3.92
5.82
7.00
5.34
4.53
6.02
6.49
6.22
7.07
6.36
6.19
6.76
6.86
8.35
6.63
5.85
7.20
6.36
5.75
5.98
5.88
6.09
5.48
6.49
5.82
6.80
7.41
6.53
7.37
7.98
9.64
8.62
5.82
5.71
7.84
8.52
8.18
9.50
9.70
7.81
6.66
6.90
7.64
8.25
5.48
6.49
7.78
5.98
4.67
4.36
5.21
7.81
5.82
5.00
6.66
7.03
8.15
8.59
8.99
9.03
8.32
8.39
7.91
8.86
9.84
