grm readings
1.69
2.43
1.08
1.72
2.77
2.06
1.32
1.96
1.01
0.54
1.59
0.68
1.59
1.32
0.78
-0.03
0.30
0.41
-0.41
1.79
1.08
-0.30
-0.03
0.10
0.61
1.89
1.79
0.27
-0.14
-0.54
-0.78
-0.07
0.10
-0.74
0.07
-0.85
-0.88
0.00
-0.03
0.54
-0.34
0.00
-0.17
0.07
0.47
-0.24
0.30
0.30
-0.44
0.54
0.85
0.41
0.03
-0.30
0.03
-0.07
-0.74
0.14
0.30
0.20
-1.49
0.51
-0.17
0.07
-0.30
1.52
-0.78
-0.24
-0.85
-0.41
-0.85
-0.74
-0.27
0.07
0.85
0.64
-0.51
0.10
0.34
0.00
0.03
-0.20
1.05
2.20
1.25
2.27
1.89
-0.54
0.27
1.22
0.85
1.28
0.24
0.20
0.57
0.88
1.83
2.33
1.96
0.27
0.37
0.95
1.18
1.08
1.32
1.28
1.93
1.28
1.52
3.18
0.95
1.96
3.62
1.86
1.25
1.86
2.27
3.69
4.06
3.82
4.84
3.45
2.77
2.67
3.82
3.52
3.72
4.09
2.94
4.13
3.82
3.48
3.45
3.92
3.38
3.69
3.72
2.33
3.92
2.74
2.91
2.74
5.14
4.94
3.96
3.48
2.40
3.92
4.09
3.01
4.29
5.44
5.31
4.23
4.06
3.65
2.57
3.08
4.60
5.92
4.97
3.11
4.06
4.60
4.29
3.69
3.55
4.26
5.17
5.55
5.14
5.41
6.19
5.27
3.58
4.53
5.00
4.40
4.16
3.48
4.29
5.11
5.11
5.07
4.43
4.13
2.84
3.48
2.37
2.71
4.40
3.62
2.98
1.62
2.64
2.60
3.99
3.82
5.00
4.70
3.04
3.48
4.84
4.19
4.80
5.38
3.08
3.01
4.97
4.80
5.11
5.24
4.60
3.82
2.87
5.14
3.99
3.52
4.60
3.18
3.65
4.23
3.99
5.00
6.05
4.02
3.18
3.82
3.31
2.77
2.20
2.87
4.02
3.14
2.37
4.70
3.55
3.45
4.33
5.00
3.38
1.76
1.96
1.93
1.83
0.57
1.05
1.89
0.57
0.14
0.00
1.62
2.23
3.42
3.08
2.13
0.61
-0.51
1.69
2.33
0.98
2.03
0.61
1.86
-0.37
-0.85
1.39
3.28
3.08
2.47
3.89
4.16
1.93
2.06
2.54
3.92
2.74
2.67
2.74
1.15
1.72
2.57
3.85
2.74
2.27
1.32
1.08
0.24
0.85
1.01
1.52
1.96
2.06
1.72
2.37
1.96
1.86
2.20
2.84
3.62
2.57
1.22
1.83
1.69
1.45
2.40
2.71
2.50
2.91
3.62
2.30
2.54
3.35
4.23
3.79
2.47
2.91
2.87
1.79
0.44
2.37
2.98
1.22
0.54
0.68
0.88
4.26
3.79
3.31
3.65
3.48
1.18
2.30
5.21
3.58
2.60
1.69
2.77
3.58
2.91
1.96
0.68
0.68
2.13
2.67
2.30
1.83
1.35
2.27
0.98
0.30
1.93
1.89
0.74
2.03
2.84
2.20
1.79
2.87
2.30
3.99
4.43
4.29
1.79
2.10
3.08
2.57
2.64
1.89
1.59
1.18
2.20
2.50
1.83
2.37
2.27
2.57
2.87
3.89
3.69
2.33
2.71
2.40
2.50
3.79
3.89
4.33
4.94
4.53
4.63
3.48
2.57
3.21
2.74
3.62
3.31
3.38
4.19
3.45
2.71
2.94
4.02
2.64
1.96
2.33
3.11
3.62
1.62
0.51
1.62
1.28
2.10
2.37
1.56
2.20
3.89
3.04
1.25
2.57
1.99
-0.20
1.72
3.65
2.64
3.79
2.94
1.32
1.28
1.05
0.95
2.13
1.99
2
